sid,id,position,created_at,created_meta,updated_at,updated_meta,meta,VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract,Counties,Congressional Districts,WAOFM - GIS - Legislative District Boundary,_processed_at,_record_id
row-5tbg~dttb.g8px,00000000-0000-0000-6E27-5BF26B26F584,0,1763494396,Unknown,1763494597,Unknown,{ },JTMAAAAA9S,Snohomish,Arlington,WA,98223.0,2025,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,39.0,280369617,POINT (-122.1264 48.19471),BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053400.0,3213.0,2.0,41.0,2025-12-02 16:32:28.815442,1
row-8557_ht7v~tbey,00000000-0000-0000-C8CE-9F2FEB976716,0,1763494396,Unknown,1763494546,Unknown,{ },5YJ3E1EBXM,King,Kirkland,WA,98034.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,45.0,137140041,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021903.0,3009.0,1.0,1.0,2025-12-02 16:32:28.815442,2
row-u3q2-j4ai~3wav,00000000-0000-0000-60C7-807AB8F3135B,0,1763494396,Unknown,1763494558,Unknown,{ },1G1RB6S51J,King,Sammamish,WA,98074.0,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,45.0,280058467,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032317.0,3009.0,8.0,47.0,2025-12-02 16:32:28.815442,3
row-aw5a~zehk.5uxi,00000000-0000-0000-686A-ED51BAC5F04F,0,1763494396,Unknown,1763494580,Unknown,{ },KM8KMDAF7N,Pierce,Bonney Lake,WA,98391.0,2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,31.0,196665647,POINT (-122.17144 47.19175),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070209.0,3210.0,8.0,15.0,2025-12-02 16:32:28.815442,4
row-bf9e_ift3_k73m,00000000-0000-0000-2002-8E7FCFD7DBC4,0,1763494396,Unknown,1763494585,Unknown,{ },5YJXCBE23L,Whatcom,Bellingham,WA,98226.0,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,42.0,283085078,POINT (-122.49756 48.7999),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073010702.0,2744.0,2.0,44.0,2025-12-02 16:32:28.815442,5
row-ptu5~fibs-zkzr,00000000-0000-0000-DB40-36E91D53F679,0,1763494396,Unknown,1763494550,Unknown,{ },ZACPDFCW1R,King,Tukwila,WA,98188.0,2024,DODGE,HORNET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,11.0,262410963,POINT (-122.27427 47.43405),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200.0,3009.0,9.0,36.0,2025-12-02 16:32:28.815442,6
row-tkbk-qqfg.k6ri,00000000-0000-0000-E4FA-4F85228BB996,0,1763494396,Unknown,1763494542,Unknown,{ },7SAYGDEE5R,King,Bellevue,WA,98004.0,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41.0,270725654,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023801.0,3009.0,9.0,42.0,2025-12-02 16:32:28.815442,7
row-egp6~dr9p~2yr2,00000000-0000-0000-E9F9-CC41A84B5220,0,1763494396,Unknown,1763494589,Unknown,{ },YV4ED3UM4P,Pierce,Gig Harbor,WA,98335.0,2023,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,26.0,233828990,POINT (-122.58009 47.328),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053072406.0,3210.0,6.0,33.0,2025-12-02 16:32:28.815442,8
row-upmb~ry83_fdis,00000000-0000-0000-55EE-9E3629A4BAF5,0,1763494396,Unknown,1763494567,Unknown,{ },W1K6G6KB7R,King,Clyde Hill,WA,98004.0,2024,MERCEDES-BENZ,S-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,46,0,48.0,279079146,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024100.0,3009.0,9.0,42.0,2025-12-02 16:32:28.815442,9
row-anp8_njb3.ke9g,00000000-0000-0000-2C3B-50FD8CBCAFAD,0,1763494396,Unknown,1763494550,Unknown,{ },WA1H2BFZ0N,King,Auburn,WA,98092.0,2022,AUDI,Q4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,31.0,230210011,POINT (-122.18497 47.28825),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031000.0,3009.0,8.0,15.0,2025-12-02 16:32:28.815442,10
row-s2wy~7q9d-npiy,00000000-0000-0000-7B00-85CFA3638C4A,0,1763494396,Unknown,1763494562,Unknown,{ },5YJ3E1EA1S,Clark,Vancouver,WA,98664.0,2025,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,49.0,282215713,POINT (-122.59219 45.62158),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011043000.0,2977.0,3.0,8.0,2025-12-02 16:32:28.815442,11
